winery-toggle,winery-toggle href,Description,Images,Details,Address
5680,https://coloradowine.com/winery/5680-2/,"Crisp mountain air, clear intense sunlight and pure water of the Colorado high country combine to provide our grapes one of the most unique growing conditions in the world. Our vineyard sits at 5680 feet within the West Elks AVA; the highest recognized wine growing elevation in the United States.",https://coloradowine.com/wp-content/uploads/5680.jpg," <h3>5680</h3> <hr class=""dotted""> <p> 14652 Peony Lane<br> Paonia, CO 81428<br> <strong> 970.527.6476<br> <a href=""mailto:robkimball7@hotmail.com"" target=""_blank"">robkimball7@hotmail.com</a><br> </strong> </p> <hr class=""dotted""> ",https://www.google.com/maps/place/14652+Peony+Lane+Paonia%2C+CO+81428
Alfred Eames Cellars at Puesta del Sol Vineyards,https://coloradowine.com/winery/alfred-eames-cellars-at-puesta-del-sol-vineyards/,"Established in 2000.Located south of Paonia, we grow Pinot Noir exclusively in our vineyard, and make other wines from Colorado grapes at our winery, such as Syrah, & Bordeaux style blends. Visitors welcome by appointment. See www.alfredeamescellars.com web site for current map location.",https://coloradowine.com/wp-content/uploads/ALFRED-EAMES.jpg," <h3>Alfred Eames Cellars at Puesta del Sol Vineyards</h3> <hr class=""dotted""> <p> 11931 4050 Road <br> Paonia, CO 81428<br> <strong> 970.527.3269<br> 970.527.3332 <small>(fax)</small><br> <a href=""mailto:eames@alfredeamescellars.com"" target=""_blank"">eames@alfredeamescellars.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>Visitors welcome by appointment.</p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://www.alfredeamescellars.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/11931+4050+Road%2C+Paonia%2C+CO+81428
Allis Ranch Winery,https://coloradowine.com/winery/allis-ranch-winery/,"Allis Ranch Winery is a family owned boutique winery located near Castle Rock, Colorado. We focus on the Rhone varietals utilizing small lot vinification to create focused, hand crafted wines. All grapes are sourced from top growers on the Western Slope of Colorado. The winery and tasting room are located in a restored 1910 Sears Catalogue house on a historic ranch near Castle Rock, Colorado.Allis Ranch Winery is a family-owned boutique winery located near Castle Rock, specializing in the Rhone varietals. From Denver take I-25 South. Take exit 182 for Wolfensberger Rd. Turn right at Wolfensberger Rd. at top of the ramp. Turn left at CO-105/N Perry Park Rd. Turn right at Allis Ranch Rd., South entrance.",https://coloradowine.com/wp-content/uploads/AllisRanchWinery.jpg," <h3>Allis Ranch Winery</h3> <hr class=""dotted""> <p> 901 Allis Ranch Road <br> Sedalia, CO 80135<br> <strong> 303-881-1294<br> <a href=""mailto:allisranchwine@gmail.com"" target=""_blank"">allisranchwine@gmail.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>By appointment for groups of 6 or more.</p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://www.AllisRanchWine.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/901+Allis+Ranch+Road%2C+Sedalia%2C+CO+80135
Annapurna Mead,https://coloradowine.com/winery/annapurna-mead/,We are a manufacturing meadery only and thus do not currently have a tasting room. We are served on-tap and in restaurants across the front range. Visit our website to find us at a local bar or eatery.,https://coloradowine.com/wp-content/uploads/2019/04/Mead-Co_w_Tagline.jpg," <h3>Annapurna Mead</h3> <hr class=""dotted""> <p> Colorado Springs, CO<br> <strong> 970-403-7314<br> <a href=""mailto:sales@annapmead.com"" target=""_blank"">sales@annapmead.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>Call for appointment.</p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""https://www.annapmead.com/"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/20+Mount+View+Lane%2C+Colorado+Springs%2C+CO+80907
Aspen Peak Cellars,https://coloradowine.com/winery/aspen-peak-cellars/,"At Aspen Peak Cellars, we are “Celebrating the Art of Food and Wine”. Whether you are looking to tour the newly rebuilt Micro-Winery with tasting room in Bailey, enjoying a lunch or picnic in our dining room or on the riverside patio, host a private party or join us for a Saturday afternoon live music event, we will assure you a memorable and relaxing visit. Sample a flight of 6 of our award winning wines at no charge if you end up purchasing at least 2 bottles of wine. Join the most attractive wine club in Colorado, which includes dinner for 2 each quarter when you pick up your wines. Take advantage of our FREE COLORADO SHIPPING program on any of our wines in stock at our online store with minimum order of 3 bottles. We are excited to announce that our new winery facility includes a full commercial kitchen along with a very cozy dining room overlooking McGraw Park and the North Fork of the South Platte River. Join us for a wonderful lunch or any occasional brunches, wine dinners or host a private party event up to 80 people. From Denver: Take C-470 merge onto US Hwy 285 south toward Fairplay. Stay on 285 for 28 miles, turn left in to the winery driveway downtown Bailey. From Fairplay: Take US Hwy 285 north toward Bailey for approx. 49 miles, turn right in to the winery driveway downtown Bailey.",https://coloradowine.com/wp-content/uploads/2015/05/Aspen-Peak-Label.jpg," <h3>Aspen Peak Cellars</h3> <hr class=""dotted""> <p> 60750 US Hwy 285<br> Bailey, CO 80421<br> <strong> Marcel and Julie Flukiger<br> 303-816-5504<br> <a href=""mailto:info@aspenpeakcellars.com"" target=""_blank"">info@aspenpeakcellars.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>Wednesday to Sunday 11AM - 6PM, Kitchen closes at 5PM. Closed Monday and Tuesday</p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://www.aspenpeakcellars.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p>  <h5>Other Locations:</h5> <p> Barn + Barrel (Aspen Peak Cellars Tasting Room)<br> 115/117 W Main St<br> Florence, CO 81226 </p> <p><a class=""btn btn-primary btn-brown btn-transparent"" href=""https://coloradowine.com/winery/barn-barrel-aspen-peak-cellars-tasting-room/"">View Winery</a></p> ",https://www.google.com/maps/place/60750+US+Hwy+285%2C+Bailey%2C+CO+80421
Attimo Wines,https://coloradowine.com/winery/attimo-wines/,"After years of hands-on experience living in Piedmont, Italy, buying and restoring our Agriturismo, La Casa Gialla, and renting (later buying) rows of Nebbiolo grapes for Barolo, we became friends with the top farmers and winemakers in the region. We worked the vines throughout the seasons, harvesting and crushing grapes, monitoring the critical aging and fermenting process, and finally making wine side-by-side with Italy’s top winemakers. We wanted to bring that taste of Italy back to Colorado.",https://coloradowine.com/wp-content/uploads/2020/01/attimo.png," <h3>Attimo Wines</h3> <hr class=""dotted""> <p> 2246 LARIMER ST. DENVER, CO 80205 <br> <strong> <a href=""mailto:awc@attimowine.com"" target=""_blank"">awc@attimowine.com</a><br> </strong> </p> <hr class=""dotted""> ",https://www.google.com/maps/place/2246+LARIMER+ST.+DENVER%2C+CO+80205+
Augustina’s Winery,https://coloradowine.com/winery/augustina-s-winery/,"The winery will be moving in the spring of 2016 from Boulder to Nederland. The new location is 20 E Lakeview Drive, #103. This is in Caribou Village….just a few yards south of the Carousel of Happiness. Augustina’s can now use the unofficial motto of Nederland “Higher Than You” Wines include: Boulder Backpacking wine (Cabernet Franc); WineChick Red (Shiraz), WineChick Blues (Merlot), WineChick Pinot Noir, Bottoms Up Red (Shiraz/Cabernet Sauvignon blend, Bottoms White ( in a Sauvignon Blanc and a Vignoles), WineChick White (Riesling), Harvest Gold ( Viognier), Venus de Vino Rose ( dry rose of Cabernet Franc) and WineChick Cherry ( Montmorency Cherry wine). Augustina’s opened in 1997 as the first winery in Boulder county.Augustina’s is a one-woman winery. I use only Colorado grown grapes to make wines that go with backpacking, blues music, books, and gingersnaps. Visit the new location for some Colorado mountain town wine . Hours: Thursdays-Sundays, 1pm-6pm. West out of Boulder on highway 119. 17 miles up to Nederland. Stay on 119 heading into the main town. Look for the Caribou Village retail area on the east side of the highway. The winery is in unit 103 just south of the Carousel.",https://coloradowine.com/wp-content/uploads/AUGUSTINAS.jpg," <h3>Augustina’s Winery</h3> <hr class=""dotted""> <p> 20 E. Lakeview Drive<br> Unit #103<br> Nederland, CO 80466<br> <strong> Marianne Gussie Walter<br> 303.520-4871<br> <a href=""mailto:augustinaswinery@gmail.com"" target=""_blank"">augustinaswinery@gmail.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br> Thursday-Sunday 1:00pm-6:00pm</p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://www.augustinaswinery.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/20+E.+Lakeview+Drive+Unit+%23103%2C+Nederland%2C+CO+80466
Avant Vineyards,https://coloradowine.com/winery/avant-vineyards/,"Beautiful view overlooking the Colorado River and Mt. Garfield. We encourage you to bring a picnic.Family owned boutique winery/vineyard specializing in small batch hand-crafted wines, produced from our own quality grapes. Tastings by appt. Bring a picnic and enjoy our amazing view! At AVANT Vineyards, the principal winemaking philosophy is to keep the process as basic and natural as possible, letting the character of the fruit come through. We make our wine in hand crafted small batches from our own grapes. They are grown along the mighty Colorado River at the base of the Grand Mesa on Colorado’s western slope, where the cool night breezes coming off the mountains meets the hot sunny days of this high mountain environment. All this makes our select fine wines ridiculously delicious. Because we’re not trying to please everyone. We’re only trying to please you.",https://coloradowine.com/wp-content/uploads/2016/03/avant.gif," <h3>Avant Vineyards</h3> <hr class=""dotted""> <p> 3480 E Road<br> Palisade<br> <strong> Diane &amp; Neil Guard<br> 970-216-9908<br> <a href=""mailto:avantvineyards@aol.com"" target=""_blank"">avantvineyards@aol.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>Tastings by appt. only.</p> ",https://www.google.com/maps/place/3480+E+Road%2C+Palisade+CO+81526
Azura Cellars,https://coloradowine.com/winery/azura-cellars/,"Azura Cellars and Gallery is a boutique winery and fine art gallery created by Ty and Helen Gillespie. We offer Cab Franc, Merlot, Pinot Noir and Pinot Gris in our gallery/tasting room. Join us for a cheese board and glass of wine. Served daily in our delightful terrace overlooking the beautiful North Fork Valley. Open Memorial Day through end of October – 11am-6pm.A boutique winery and fine art gallery created by Ty and Helen Gillespie. We offer Cab Franc, Merlot, Pinot Noir and Pinot Gris. Join us for a cheese board and glass of wine served daily in our delightful terrace overlooking the beautiful North Fork Valley. Open Memorial Day thru end of October. From Paonia go approx. 1 mile North on Hwy 133 to Farmers Mine Rd. Turn left and go 1 mile to Azura Winery/Gallery. We have ""AZURA"" signs on Hwy. 133 and at our driveway.",https://coloradowine.com/wp-content/uploads/AZURA.jpg," <h3>Azura Cellars</h3> <hr class=""dotted""> <p> 16764 Farmers Mine Road <br> Paonia, CO<br> 81428<br> <strong> 970-390-4251<br> n/a <small>(fax)</small><br> <a href=""mailto:AzuraPaonia@aol.com"" target=""_blank"">AzuraPaonia@aol.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>11am-6pm from Memorial Day through October</p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://www.azuracellars.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/16764+Farmers+Mine+Road%2C+Paonia%2C+CO+81428
Bad Bitch Cellars,https://coloradowine.com/winery/bad-bitch-cellars/,"Women owned Colorado Native business. We do all the work and you enjoy. Any and all reasons to drink wine we will create that for you. We make all the wines they are hand crafted by us for you. We customize all the labels. So if you are getting married, having an anniversary, birthday, all holidays, fund raisers. Great advertising for your business put your logo on the wine bottle. Our motto is YOUR WINE, YOUR WAY, YOUR SPECIAL DAY!Women owned Colorado Native business. We do all the work and you enjoy. Any and all reasons to drink wine we will create that for you. We make all the wines they are hand crafted by us for you. We customize all the labels. So if you are getting married, having an anniversary, birthday, all holidays, fund raisers. Great advertising for your business put your logo on the wine bottle. Our motto is YOUR WINE, YOUR WAY, YOUR SPECIAL DAY! CROSS STREETS ARE HIGHWAY 85 AND COLLINS STREET, EATON, CO 80615",https://coloradowine.com/wp-content/uploads/2015/05/NEW-LOGO.jpg," <h3>Bad Bitch Cellars</h3> <hr class=""dotted""> <p> 603 EAST COLLINS STREET, EATON, COLORADO 80615<br> <strong> TERES KERNAN<br> (303) 807-3906<br> <a href=""mailto:cellardog07@gmail.com"" target=""_blank"">cellardog07@gmail.com</a><br> </strong> </p> <hr class=""dotted""> <p>Hours: <br>By reservation</p> <p class=""text-center""><br><a class=""btn btn-primary btn-brown btn-transparent btn-unbordered btn-external-link"" href=""http://badbitchcellars.com"" target=""_blank"">View Website <i class=""fa fa-external-link""></i></a></p> ",https://www.google.com/maps/place/15090+Lansing+St.+Brighton%2C+CO++80602
